,match,time,slot,text,target
14148,693,520.60622,3,i know u want this D,
14154,693,2724.65292,1,should have waited for SF to get abandon ,
14158,695,892.64868,8,really,
14165,695,976.56158,3,sb first item,
14182,695,1463.20938,4,too panic,
14185,695,1474.67328,4,i know that feel,
14187,695,1498.46748,8,i was afk tho,
14220,697,239.44156,7,He had packetloss,
14222,697,239.44156,0,he leaved the game,
14226,697,1647.39773,4,this tiny,
14228,697,1660.92773,8,just wait unti9l yo uhere this,
14229,697,1666.12653,8,you knwo that phoenix illusion mid?,
14230,697,1670.65873,8,that axe killed?,
14232,697,1683.38893,8,well axe blinked on a phoenxi luusion mid,
14233,697,1687.39353,8,I placed it there as bait,
14235,697,1691.20653,4,rly?,
14236,697,1699.10013,8,and told tiny to get ready for axe blink,
14238,697,1701.84283,8,he ingored,
14241,697,1712.61283,8,wasted operatunity,
14243,697,1773.41993,8,if we had an actual carry we woulda won,
14254,697,2661.47833,8,my dmg is based on % of max hp pudge,
14255,697,2671.24493,0,who cares?,
14256,697,2682.88453,8,"was just incase you didint know, was not flaming",
14257,697,2691.44703,8,so incase you didint knwo you know do,
14297,701,436.9933,4,ty pud,
14310,702,192.08648,2,fuc kfof bro,2
14316,702,497.94508,0,ain thelping him,
14334,702,2090.36778,9,why PA offlane ?,
14347,703,262.13601,3,not safe to leave,
14349,703,280.59816,7,it is,
14358,704,58.05249,9,for real?,
14365,704,956.56642,3,he got it already?,
14370,704,992.82422,3,ye idk what it is,
14374,704,1106.06322,3,oh thank you,
14377,704,1122.79252,6,HE IS GOOD,
14381,704,1176.37942,6,HE IS GOOD,
14391,705,1334.9407,9,serious,
14394,705,1345.2049,9,serious,
14395,705,1348.6707,9,serious,
14396,705,1350.6036,2,try pls,
14397,705,1357.8684,6,top ?,
14402,705,1370.9319,9,and?,
14407,705,1388.6609,9,just go and end please,
14408,705,1390.8604,9,thank u very much,
14463,710,325.55386,0,he tilt,
14465,710,325.78714,4,this RU west server is good,
14471,710,1006.321,5,wtf is that hero,
14472,710,1010.3866,5,is that legit,
14482,710,1225.734,6,TY LU4WIY,
14489,710,1462.7428,5,why,
14492,710,1621.504,0,CANT,
14502,710,1716.612,4,what a fail gamee,
14527,710,2024.1262,4,what an idiots,1
14540,710,2210.5279,4,report wood legion,
14543,710,2217.1504,4,good fucking g,2
14552,710,2272.7398,0,cant win lanes,
14555,711,-297.8295,3,pick nature prop pls,
14556,711,-257.56345,3,or my friend will pick and this game is not gone be easy for you,
14559,711,-48.52148,8,gengar is a shit pokemon,2
14563,711,-48.52148,2,mummy issues ?,1
14565,711,-42.8562,8,thanks,
14572,711,1870.51882,8,worth,
14575,711,2408.51812,1,ALL OF U,
14578,711,2418.61922,9,go to bed,
14581,711,2543.37742,9,turn capslock of you imbecile,1
14585,711,2792.49272,1,u lose with those heroes,
14586,711,2794.23192,1,pathetic,2
14592,712,24.6386,1,Clock Clock Clock Clock Clock Clock Clock ,
14594,712,33.7072,1,Do you know the wey,
14595,712,34.10729,1,Do you know the wey,
14609,712,432.8441,1,Clock Clock Clock Clock Clock Clock Clock ,
14610,712,433.17736,1,Clock Clock Clock Clock Clock Clock Clock ,
14611,712,433.44396,1,Clock Clock Clock Clock Clock Clock Clock ,
14612,712,434.577,1,Do you know the wey,
14614,712,457.90465,1,Do you know the wey,
14617,712,2272.9202,1,Do you know the wey,
14618,712,2273.1877,1,Do you know the wey,
14619,712,2273.5891,1,Do you know the wey,
14620,712,2274.0574,1,Do you know the wey,
14621,712,2274.3918,1,Clock Clock Clock Clock Clock Clock Clock ,
14622,712,2275.1945,1,Clock Clock Clock Clock Clock Clock Clock ,
14623,712,2275.529,1,Clock Clock Clock Clock Clock Clock Clock ,
14626,712,2452.0637,1,Do you know the wey,
14627,712,2452.3313,1,Do you know the wey,
14628,712,2452.5989,1,Do you know the wey,
14629,712,2452.8665,1,Do you know the wey,
14675,717,2163.0227,8,tak by minus sf),
14681,719,803.1039,4,whats the point bois,
14691,719,1191.6757,4,fucking 5 iq ,2
14726,721,1623.20366,5,TEAM?,
14728,721,1631.06836,5,a million dollars for ateam,
14729,721,1638.46656,5,want to buy,
14733,721,1890.51446,0,thanks,
14734,721,1912.18826,6,i gave voker a kill and a courier snipe . and he cant do shit,1
14735,721,1916.80396,6,also my luna is cancer,1
14745,721,2132.80646,5,we won and u know it,
14834,724,1562.785,8,nice english,
14835,724,1577.5148,0,u dont need english to win dota,
14868,726,2477.5356,9,your mother,
14877,729,1568.81692,2,i tried to ,
14883,729,1895.90492,3,cm my team,
14901,730,2177.92427,7,wtf with u abbadon,2
14927,731,1533.6255,9,this is why.,
14929,731,1549.1551,9,you get people that just decide to be dicks and not play teh agme,2
14940,733,127.20227,5,plz report tiny,
14951,733,2230.49474,1,ty invk,
14952,733,2256.65054,7,in this moment??,
14964,733,3351.64714,9,Rly?,
15089,736,-17.87048,2,is that ,
15091,736,-11.80252,3,wtf is that,2
15094,736,-10.73562,6,thats what she said,
15095,736,1214.12955,3,faccc offf,2
15097,736,1236.25745,7,i ahve a party of baboons on my team,1
15100,736,1248.25455,4,i didn't even amp that one,
15102,736,1260.71815,3,ur a monkey,1
15103,736,1268.38295,6,im a monkey,
15105,736,1397.75135,2,LET IT GOOOOOOOOOOOOOOOOOO LET  IT GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,
15115,736,1735.80215,6,why am i playing against a divine player,
15117,736,1742.73385,7,why does my axe have atos,
15118,736,1753.39785,3,bvest item in game?,
15121,736,1758.19675,4,cause none of you can catch storm,
15122,736,1767.99435,7,he is an axe though,
15124,736,1775.32585,3,atos on every hero,
15125,736,1818.64865,3,who ther fuck gets bkb in LP?,2
15126,736,1829.57925,3,are you TRYUING to win?,
15128,736,1960.28755,7,i dont think this sf knows he was an ult,
15129,736,1967.37835,2,he doesnt have souls,
15234,740,2815.77005,8,yea sure,
15240,741,308.02478,5,report him,
15247,741,584.12408,6,ur carry so fcking free running around,2
15250,741,2122.02258,4,what an ez game shoulve been,
15252,741,2131.52168,5,imagine how many times we wasted,
15256,741,2157.94508,4,you know this is ez game,
15258,741,2168.64808,5,because theres is no 5th player,
15262,741,2174.80238,5,not because you are good,
15267,741,2183.09728,4,its ok,
15268,741,2184.97038,4,you need this win,
15269,741,2188.71648,4,cause you guys so dumb cant win mmr,
15270,741,2197.41278,5,whatever bro,
15273,741,2216.64488,5,ez top by the way,
15274,741,2218.58488,7,swap commend ty,
15309,744,1010.02,9,JUST KIDDING I HAVE NO MANA,
15310,744,1517.1629,9,EXCEPT ME ALL MY TEAM IS PRO,
15311,744,2186.302,9,why gank me ,
15320,744,3252.6007,2,you guy should stop play carry ...,
15322,744,3324.3786,9,CLOCK,
15330,744,3440.9088,0,learn english pls,
15346,747,600.12013,4,so the point of the game is to NEVER protect pos 1 ?N,
15347,747,608.45143,4,im learning dota !,
15350,747,1058.4082,6,HOW ARE U?,
15372,748,1082.4024,4,whata player,
15392,750,1600.37586,9,Report am please,
15393,750,1603.57506,9,report AM,
15394,750,1605.50796,9,please,
15395,750,1606.64106,6,please report am,
15486,756,2216.8561,6,trash cores,1
15487,756,2219.8664,5,TARD CORES,1
15489,756,2224.9504,5,WHAT IS THIS,0
15493,756,2248.2297,8,10 8 with 100% frags,0
15502,759,2137.0972,0,well located,0
15503,759,2152.8842,0,not only the last one,0
15504,759,2160.5102,0,but all of your bubbles,0
15526,760,1261.7919,3,ff pls ,0
15616,762,14.86304,1,im losing my religion,0
15641,763,1838.2715,5,The cancer lancer,0
15651,763,2035.5435,2,now ards,
15657,763,2291.482,5,come back,
15669,763,2488.0181,2,and off,
15671,763,2493.0686,2,tbm,
15680,765,2193.16978,2,wait for next rosh,
15685,765,2526.70578,5,cant wib,
15953,767,-4.99878,5,hey slar? are u roam?,
15964,767,1638.86645,0,witch fedeer,
15970,767,2158.08175,4,come wars,
16010,771,574.05985,9,can easily,
16014,771,584.324,2,can't,
16023,772,1217.30272,6,fucking terrible sia,1
16035,772,1895.96942,7,you come here often?,
16038,772,2172.97972,6,commended sf <3,
16053,774,160.43533,1,omni want to be caryy,
16056,774,167.56691,9,piece of shit,1
16059,774,174.23195,9,gonna report this family fucked dog,1
16070,774,444.49933,9,when dc?,
16072,774,514.84883,9,safe to leave,
16109,777,-48.52148,6,what?,
16110,777,-37.65748,0,we have 5 1/2 players,
16111,777,-32.25878,0,in team,
16115,777,262.93582,6,Who is you 1/2?,
16116,777,267.53472,6,1 and 1/2,
16120,777,1608.14062,7,throne,
16123,778,-164.8419,1,go end thankyou,
16126,778,-57.15271,1,this garbage team,1
16128,778,-32.29212,1,at bottom,
16130,778,-18.22887,1,secret shop is warded,
16139,778,1137.42223,1,FK UI,1
16148,778,1368.56583,1,idiot bs,1
16156,779,2460.6189,8,always kill supp,
16178,781,1240.29717,0,guess were reporting them all for unpausing,
16201,784,1127.558,2,report this lion ty,
16232,787,2099.92381,9,push pleas,
16260,790,490.91495,5,x miss ghost ship :))),
16324,796,-8.13507,1,and i meant,
16325,796,-6.53473,1,in real life,
16326,796,-5.20111,1,not in the game,
16332,796,203.03944,1,this medusa,
16334,796,207.43837,1,seriously,
16336,796,216.16957,1,what the fukc,2
16337,796,218.03578,1,he cant evne bouncy,
16338,796,221.5016,1,bounce his snakes,
16357,797,819.73578,6,morons,1
16367,797,923.51048,6,WHAT NOW,
16369,797,1114.33058,6,CHASE,
16398,801,1384.20722,3,too much youtube,
16447,802,1874.34932,6,CYKA ESHE I GLLIF KAK PROZHALO,1
16491,805,318.82217,3,report pudge,
16499,805,478.64981,8,go me feeed ,
16592,807,-65.86137,0,thx for 28ing,
16594,807,-60.59358,4,he is president,
16597,807,1521.2286,0,why hate me sir,
16598,807,2089.5303,0,why hateme?,
16599,807,2172.145,0,dire hate me,
16600,807,2174.0181,0,why,
16604,807,2730.7144,0,now dire cannot hate me,
16624,809,2160.95055,3,boa,
16735,814,1067.73925,6,u had invis?,
16737,814,1213.23705,6,really?,
16741,814,1437.41565,9,throne it ,
16784,818,883.98415,8,that is the most broken shit,2
16808,818,1815.34395,9,mk and the other new heroes,
16889,821,-44.42249,1,what,
16890,821,-42.42298,6,is sb offlane lmao,
16895,821,-42.42298,7,JUST F9,
16919,821,-42.28968,0,learn a real language,
16925,821,-42.28968,6,ur language is as real as ours,
16927,821,-35.59131,0,yours is made up,
16953,821,2050.31045,6,arc won the game,
16954,821,2052.91925,9,is beatcj,
16955,821,2239.55495,1,my eyes closed,
16956,823,-37.2909,2, has predicted their team will win!,
16961,823,-33.12525,0,NICE JOB,
16962,823,-30.92578,1,my dad likes my butthole too much,2
16963,823,-30.92578,1,it hurts a lot,
16964,823,-30.92578,0,IS NIGHT,
16965,823,-30.92578,0,HIS MOTHER CALL HIM FOR SLEEP,1
16967,823,5.39868,8,PLEase,
16969,823,18.1289,2,what,
16970,823,19.99512,2,the fuck,2
16973,823,30.62585,4,dun my heart,
16974,823,30.62585,2,what did he even say,
16976,823,30.62585,2,sorry blue has broken caps,
16978,823,30.62585,1,he just yells a lot,
16979,823,30.62585,0,IT HURT ME,
16986,823,923.87442,0,worth,
16987,823,963.26482,2,rtz did it so it must be good,
16990,823,1156.55092,8,U guys worth to win,
16994,823,1415.28772,8,this nerco,
16999,823,1449.51272,2,ok thx,
17011,823,2148.67412,1,i mean does this necro deserve a win?,
17020,823,2191.21912,2,willow can't admit she fucked u,2
17023,824,-64.91748,2,russian player,
17049,824,982.8933,0,did you see amazing sf play,
17053,824,2508.0932,2,its over for secret...,
17057,825,41.02332,0,SUPER CARRY,
17062,825,1133.48992,0,LET IT GOOO,
17074,826,-95.04941,2,we are MVP PHOENIX,
17076,826,-72.64885,5,where is march?,
17080,826,72.57248,4,fuck off dudes,2
17086,826,413.52255,2,somehow was lvl 2,
17092,826,2278.72285,2,QO in hot,
17100,827,-77.24781,8,thanks,
17111,827,398.13615,3,now my tp on cooldown,
17117,827,647.70855,3,TP CD 20,
17122,827,1791.12555,3,JUST WANT TO GET MY BLINK BRUHHHHHH,
17132,827,2023.71775,3,ha[ppy new year,
17139,827,2110.94825,3,u can do better just ass blocking mate,
17144,827,2125.66505,8,back,
17147,827,2130.68215,2,what u all still wanna do lol,
17170,830,1857.22561,0,merry xmas motherfuckers,1
17171,830,1862.37651,0,happy new year fucktards,1
17183,831,1101.8976,1,neve nothingr,
17198,833,1284.14777,4,wasnt there ,
17207,833,1513.62507,7,any problem with dark lord?,
17220,834,666.0707,5,worth?,
17233,835,2488.9566,9,dk with no ,
17259,838,1601.40898,5,aleatory pick comend,
17268,838,1983.99828,2,  CMND PKLS,
17272,839,117.50463,0,5 seconds in already bitching,2
17279,839,834.02973,5,team doesnt want to win,
17280,839,839.02843,5,sb dumb charge mid too,1
17383,843,-252.31757,4,tiny has been banned,
17417,843,1812.9927,9,worth,
17421,843,2028.0586,6,witch,
17422,843,2028.527,6,tb,
17479,851,-70.48278,6,he is online,
17480,851,-70.48278,0,so what,
17483,851,-70.48278,6,so lets wait motherfucker,2
17485,851,-68.18334,0,is shemale reconn?,1
17487,851,60.85182,3,puck bot,
17504,851,1900.9681,0,worth it,
17505,851,1921.7054,0,really wworth it,
17533,853,786.95047,9,where is my spaydi,
17534,853,788.21682,0,Best team,
17537,854,-27.42664,7,"roses are red, my servants are black, hey jeffro stop running, i want my watch back",
17545,854,2874.08142,7,"roses are red, violets are not, i snatched up baby madeline, right up out of her cot",
17546,854,2919.63642,7,satanic and brown boots,
17548,854,2927.79762,7,back,
17552,854,2981.84842,7,clok,
17553,854,2991.01292,3,FOR MARKING ME AND TA,
17584,859,343.81607,6,he is off,
17596,861,-67.78345,9,got scammed of all my items,
17601,861,-31.19237,5,never enter *insert any trading page that is nto steam here*,
17602,861,-13.46337,9,learning it the hard way,
17625,862,3260.8676,3,this tinker,
17640,864,-86.84546,2,he change pc,
17641,864,-86.84546,2,now login,
17643,864,-79.58056,3,in game now,
17646,864,-74.91504,7,report invo,
17659,864,2091.86744,4,now  blame  ,
17665,864,2104.47704,7,stupid as fuck,1
17669,864,2120.73244,7,i will blame me if he not stand next to me,
17685,865,818.1002,7,ILL REPORT MIRANA,
17686,865,825.6317,7,POLEASE LET HELP US,
17699,865,1026.6493,0,commend me team,
17702,865,1050.9101,1,swap connmmend ,
17705,865,1072.3048,7,ILL SWAP COMMEND JUST REPORT OUR TROLL,
17713,865,1092.6998,7,Reported troll,
17715,865,1093.5663,0,really,
17725,865,1149.5526,7,FUCKING IDIOT TEAMMATES,1
17736,865,1186.1437,3,Commend team,
17743,867,2655.2326,1,this fkn wd,
17748,868,-47.95496,6,what ?,
17751,868,1289.68504,7,stey in da trees they sayd,
17754,868,1558.61944,7,u done nothing,
17755,868,2095.81234,7,nice first hit bash am,
17756,868,2158.35864,7,try more pls,
17762,868,2706.59284,6,that slark was so sily in start game....,
17766,868,2726.99564,9,i shut down so many times,
17767,868,2727.59764,7,1k carryed by am,
17789,871,-11.03064,3,who is the maine carry?,
17794,871,21.4281,3,rape this invoker mid,1
17798,871,1267.6238,5,report ck,
17819,874,46.65527,5,"ns, go bot",
17844,877,1683.18895,0,reatrds ,1
17849,877,1694.38625,7,wk help me once,
17854,878,719.29106,9,worked out,
17867,878,2474.7697,2,easiest sf of my life,
17931,883,1317.44496,2,that bash,
17932,883,1501.16676,2,basic,
17933,883,1514.63016,2,nice throw,
17946,883,1879.45096,5,well voker there?,
17949,883,1886.94316,5,now he talk,
17960,884,1402.69087,9,report oracle and mepo,
17961,884,1405.02357,9,i will commend,
17965,884,1426.48497,4,and what do you expect to happen ?,
17966,884,1426.88487,8,dude meepo is a fucking troll,2
17969,884,1451.74547,9,but this 2 ,
17970,884,1454.27827,9,feed to much,
17994,886,-81.98148,2,WHAT AM I ORDERING FOR DINNER TONIGHT BOYS,
17999,886,-64.25096,4,nah canes for sure,
18000,886,-58.38573,2,all good suggestions,
18008,886,1795.5953,7,worth,
18009,886,1802.8868,0,do not mess with me !,
18011,886,1902.4927,5,let me show u the wey,
18013,886,1916.4068,2,thats a gottum ,
18014,886,1918.5475,0,hey well did u dudes at least have fun?,
18103,889,1498.46744,1,0 arrow,
18104,889,1499.80044,1,in game ,
18112,889,2099.24414,1,amazing carry playerr,
18115,889,2108.47564,1,and pick carry,
18116,889,2109.54594,1,first,
18125,890,1829.95825,0,JAJAJAJA LOL,
18132,890,3408.30135,9,COMMED,
18155,891,779.08952,3,comeback is real,
18158,891,931.91892,4,was it no ?,
18177,891,2718.89492,4,cake,
18181,891,2735.48472,4,and cake,
18182,891,2804.85442,4,play with the creeps,
18196,891,2915.29732,3,finally normal games now,
18205,891,2930.04752,4,i played solo,
18208,892,1535.3584,3,wp malo-fets,
18211,892,1775.9651,3,rp 4 2 supp rofl,
18212,892,1898.1479,5,rS,
18213,892,1900.0879,5,rS,
18220,892,3565.2266,6,asshole,1
18221,892,3566.8321,6,clock,
18224,893,362.34486,0,end please,
18228,893,1090.96696,1,fuck that invoker build|,2
18241,894,492.11319,7,2 kills steal and he kills me and takes my runes,
18244,894,499.77798,9,SLARK NOOB,1
18252,894,808.43593,7,good polayed,
18253,894,810.76873,7,played,
18267,896,2.86597,4,interesting,
18269,896,472.35135,6,lol to help bot,
18273,896,543.06742,8,i wanted a kill ;(,
18278,896,1829.01605,5,What,
18281,896,2160.27785,4,fuck ur LoL hero,2
18287,897,3649.66738,8,easy,
18295,898,1777.8612,5,>Space created,
18303,898,2001.0215,0,qwuem tava off ? ,
18305,898,2005.9047,5,that would be you,
18311,898,2026.9765,5,off era nature,
18316,898,2046.8441,5,ir nature off,
18403,900,1749.66223,7,this fucking ruiner,2
18411,900,2163.30463,2,with od,
18414,900,2168.05413,7,SF and ES,
18415,900,2170.46233,7,are acc buyers,
18418,900,2176.21523,7,we cant do anything,
18419,900,2178.62343,7,if they dont play,
18420,900,2184.04193,6,to be honest you didnt have impact in this game,
18423,900,2187.78793,7,AND this Oracle,
18425,900,2196.95253,7,"report this sf,t y",
18437,905,-73.71534,8,soryr,
18438,905,-56.55286,8,My internet will go down at like 20 mins and you can all spam KARMARMAKRKM in all chat,
18443,905,1835.65876,8,Fuck off.,2
18450,905,2187.92546,8,Hard time mid wasn't it,
18453,905,2204.18076,7,"i'm herald, actually",
18456,905,2224.38296,2,that's full house,
18465,907,1970.79606,5,I PRESSED THE WRONG BUTTONSSSSSS,
18517,910,1636.73367,0,are fucking patethic,2
18520,910,2107.85997,3,might as well end it,
18521,910,2141.57487,5,GIVE ME RAMPAGE ,
18523,910,2164.98787,5,OK?,
18526,910,2179.40367,9,"ty for comemnds I w,ll cmmend tooo",
18561,913,1125.6918,9,rofl,
18574,913,1398.9917,2,he have 250 gpm,
18575,913,1410.3889,2,and he dont give carry bs,
18606,915,1355.80226,4,what the fuck is your problem with m?,2
18608,915,1429.48426,1,any last words?,
18611,915,1722.34156,3,FUCK U,1
18612,915,1726.28826,3,he is break my blink,
18617,915,2479.52056,3,Readed,
18623,916,1289.88507,0,i fuck your young mom,1
18624,916,1293.75077,9,she gay and she fucked u,1
18626,916,1305.61457,8,arrow in ass,
18630,916,2521.23427,1,report him pls,
18635,916,2628.43277,4,report storm plz,
18677,920,-30.79249,6,fuck off,2
18679,920,587.12332,9,looking for friends or do you have autism?,0
18681,920,846.89325,1,>>>>>>>>>>>>>>>>>>>>>>>>SF Players,
18682,920,855.75775,8,first time sf,
18683,920,862.82265,3,first time dota,
18684,920,869.48765,0,first time computer,
18685,920,966.79725,1,No counterplay man,
18691,920,2593.77265,7,no bashes so lucky storm,
18692,920,2607.82045,4,i think you bashed enough before that tho,
18697,920,2709.80115,1,ETA on that rosh was 2019,
18705,921,745.3514,5,please,
18706,921,745.3514,5,rctm,
18714,921,1625.9563,0,why?,
18717,921,1699.0385,5,MI CHEN,
18737,923,1736.19146,4,HEY RUBICK],
18738,923,1784.62306,0,ur a pussy bitch,1
18744,923,2089.19386,2,useless fuck,1
18745,923,2121.23636,1,chaos is all yours boys,
18746,923,2129.79886,1,if hes there I WILL NOT BE,
18747,923,2139.03026,1,you have my word,
18748,923,2139.36476,0,this dude is a tool,
18749,923,2164.58406,1,hes a spoiled child that needs a dick in his ass,1
18774,925,3017.14578,4,counter pick???,
18775,925,3020.08898,5,california trash,1
18781,925,3028.38398,5,SAD TINKER,
18783,925,3030.52458,7,he blame us here,
18785,925,3035.27408,5,EZ TINKER,
18791,925,3103.74068,5,EZ TINKER,
18792,925,3105.21228,5,EZ TINKER,
18795,926,1729.08832,4,smurfing as clinkz :D,
18821,931,45.38892,8,why by,
18823,931,159.96095,4,Really ?,
18825,931,176.02368,4,no but im little mad,
18831,931,1890.80925,7,this weaver,
18832,931,1899.23795,4,shame on you bro,
18833,931,1905.19155,4,dont you think im playing real,
18834,931,1908.13495,4,IM Trolling,
18871,934,1654.6293,2,rep tech,
18881,936,-59.7854,4,my first time,
18890,936,2709.84413,4,push to win,
18963,939,-171.013816,7,ty for clearing our lp ,
18969,939,1416.44658,2,ty for clearing lp,
18976,939,1622.32958,0,commend axe thanks,
18980,939,1653.32198,2,yes go back to the hole u came out from,1
18983,939,1715.90678,0,buy something frst ,
18999,940,-80.04712,8,that wk set yo,
19000,940,-78.24756,8,fire,
19003,940,1243.59636,1,it is just a pub game...,
19009,940,2221.57046,3,hold on,
19018,940,2534.20206,6,execpt am fuck that guy,2
19028,942,1257.0931,7,that hurt,
19032,942,1448.9795,7,are we paired with heralds?,
19039,942,1771.1952,6,but this sf tho,
19046,942,1783.9721,7,THE DIFFUSAL WORKS,
19052,942,1821.9013,7,oh its another javelin spamming pango,
19053,942,1827.6542,9,we can go for another 30 minutes,
19054,942,1833.8085,7,another person who doesnt have a clue of what they are doing on the hero,
19055,942,1848.3915,7,it actually triggers me seeing that every time there is a pango,
19063,942,1885.9862,6,cartried hard,
19065,943,1897.27067,5,no way to win with these am and wr,
19103,945,1516.92957,6,fucking team ,2
19104,945,1524.39447,6,abaddon watchthere ,
19132,946,1965.05144,4,COMMEND PUDGE,
19156,946,2066.93184,4,COMMEND PUDGE,
19161,947,-6.1013,7,buy bitcoin everyone,
19164,947,94.21664,7,it are the best,
19169,947,113.212,8,wtf is that,2
19170,947,118.94394,7,its the best cyrpto,
19174,947,151.13608,8,ok thx,
19176,947,169.33162,7,it go moon this january,
19179,947,193.25912,8,i earned 50k on XVG but its shit coin probbably,2
19180,947,197.858,7,yes its scam,
19249,951,1838.30192,8,I'm the get away driver,
19250,951,2274.35392,3,perma bash is fun,
19251,951,2280.90962,5,Coming from you,
19252,951,2289.47212,8,You,
19264,951,2313.28652,7,you perma bashed me earlier,
19265,951,2338.10442,3,ill take ur word for it,
19270,951,2459.65172,5,Report Pan,
19286,953,619.18217,4,CURRIE,
19294,953,1764.13167,2,team roshan,
19295,953,1771.22247,7,Team courier,
19297,953,2085.42617,2,4 bot,
19300,953,2167.97387,2,bot,
19301,953,2169.71317,2,4 bot,
19303,953,2186.70437,2,4 bot,
19304,953,2189.51397,2,in my team,
19307,953,2225.16877,2,abadon in jungle bot,
19311,953,2308.18487,2,4 top,
19323,953,2451.87427,2,in my team,
19329,953,2521.24397,2,sentry mid,
19340,953,2800.06037,2,EZ TUSK,
19359,953,2902.74347,2,sentry in mi,
19364,953,3046.96807,2,techies,
19394,954,-43.656,0,currently in game,
19395,954,-43.656,7,his dog pulled the plug,
19396,954,-43.656,7,cause she was like,
19398,954,-43.656,7,fuck this guy,1
19402,954,104.80774,7,succ me too pls,1
19432,958,3305.67985,9,no BB here,
19433,958,3308.48945,6,report him,
19440,958,3843.61225,4,hard sup,
19454,959,1207.83844,4,easy game.. merry christmas,
19472,959,1367.33274,9,la cagaste earth :v,
19510,960,2476.41883,1,report team,0
19522,962,458.05484,3,end this,
19534,962,664.20448,8,watch xp twitch pelase,
19535,962,665.80408,8,please,
19549,962,1376.56388,7,gg close game,
19560,963,1594.26844,0,king of the low,
19571,963,1811.91534,6,iM PERFECT,
19572,963,1839.50854,6,and you? 8-10,
19577,963,1894.67514,6,and?,
19607,965,947.9352,5,ty for ward,
19625,965,1831.5205,2,CLOKWERK,
19632,965,1859.0811,7,commend bh 18 assist =(,
19640,965,1963.6372,5,that invoker,
19643,965,2350.0869,1,REPORT CLOCKWER 2 ITEMS,
19646,965,2358.4488,2,REPORT CLOK FLAMER,
19654,966,1561.25207,8,top gave to much kill ? LOL wana talk about mid ? ,
19680,967,311.89055,4,omg ancestral,
19692,967,713.85905,4,sorry ancestral,
19696,967,748.91715,4,yes cepter :3,
19706,967,1294.85045,4,sorry :C,
19716,967,2756.30975,4,i am brother to the miracle :V,
19751,971,65.15076,4,try me,
19778,972,229.24404,2,they need you too,
19781,972,234.97598,5,win ,
19784,972,239.30824,6,actually,
19786,972,257.83704,2,your mom is great,
19787,972,294.96134,9,can u stop sucking dick sf?,1
19789,972,313.9567,9,and u keep complainnig,
19792,972,373.6088,2,can you suck my dick?,1
19802,972,736.08694,5,can we end?,
19814,972,1047.21094,2,what now?,
19815,972,1050.27684,2,you are getting anal raped ,1
19817,972,1052.34304,2,my bitch,1
19819,972,1053.34284,1,can we end?,
19820,972,1055.40894,2,space for your mom?,1
19822,972,1069.07234,5,your asss,1
19823,972,1070.27204,5,is hot,0
19836,972,1273.35574,2,nice feed,
19838,972,1282.62014,5,ass hot,1
19841,972,1357.60184,2,why so quiet,
19843,972,1376.99714,5,rape sf all early game >>> sf have more items against sky,2
19845,972,1385.39504,2,cuz he noob,1
19846,972,1387.72784,2,i raped him,1
19850,972,1450.51244,5,chill yor ass,
19853,972,1464.10914,5,and just play,
19859,972,1556.55324,7,ty  ty,
19861,972,1566.88404,3,( random lucky  shit ),2
19864,972,1627.66924,2,only es bane and sky?,
19865,972,1650.39704,5,(Console): Report submitted: Thank you for helping to improve the Dota 2 community.,
19868,972,1658.46174,5,ofc,
19869,972,1676.52394,5,(Console): Report submitted: Thank you for helping to improve the Dota 2 community.,
19870,972,1686.58814,4,ucan report ingame?,
19872,972,1711.98194,5,i can report in game old school,
19875,972,1737.24934,7,10/10 would lane 1v1 vs brew again XD,
19886,972,1782.00184,7,u could go even dagon 5 and win this game,
19890,972,1784.87834,9,was es and bane ever top?,
19895,972,1793.97594,7,for 30 secs,
19897,972,1799.92964,4,not long enough,
19898,972,1804.74604,1,They were bot whole the game,
19899,972,1809.42864,9,how es bane and luna can't handle brew,
19901,972,1829.49694,9,es and bane were looking to fight non stop,
19915,972,1904.21814,7,cannot manta that XD,
19916,972,1910.37244,1,where is my bane,
19925,972,1956.39594,5,(Console): Report submitted: Thank you for helping to improve the Dota 2 community.,
19938,973,1790.42345,4,you picked four melees,
19939,973,1794.83855,4,get countered shitters,2
19941,973,2338.49035,6,report pudge,
19995,975,1992.91184,0,u are just wasting our time,
19996,975,1994.98564,0,stop it pls,
20038,978,1504.4993,3,save  1 ward,
20043,979,1984.82197,6,GG WP EZ Microsoft Windows XP Chicken McNuggets ,
20046,980,0.03333,5,how long,
20051,980,0.03333,2,6 inches,
20052,980,0.03333,4,kjust a second,
20054,980,0.03333,5,woah impresisve,
20064,981,1077.28022,0,they destroyed the top tower but u got me,
20067,981,1543.39972,1,what the fucl,2
20074,982,-54.02014,7,im about to ,0
20080,982,101.67517,7,ssorry ,
20087,982,2275.59674,5,report earth aspirit,
20102,986,1633.63443,4,me team report,
20126,989,2100.49196,0,REPORT WV,
20127,989,2105.64276,0,REPORT WW,
20129,989,2107.11446,2,why,
20130,989,2165.04496,0,HOW I MUST WIN WITH THIS TEAM,
20160,991,264.40214,5,fast lease,
20167,991,829.1309,5,fast ,
20169,991,837.9954,5,i now wards and farm,
20172,991,1248.9617,4,morr com ward e sentry,
20182,991,1338.7398,5,fast please,
20194,991,1890.4992,5,boa,
20210,991,2125.2322,3,lol esse weaver,
